region,city,rooms,halls,towards,decoration,have_elevator,visited,attention,publishday,popular,unit_price,area,total_price
十亩田家园 ,H,2,1,S,3,0,15,107,20.0,2.13,4.3952,45.05,198.0
太阳国际公寓 ,H,4,2,S N,2,1,8,117,20.0,2.035,4.3549,167.63,730.0
十亩田家园 ,H,2,1,S N,3,0,12,71,20.0,1.485,4.2337,57.87,245.0
盛世钱塘 ,H,4,2,S N,3,1,4,57,20.0,0.995,5.8071,185.98,1080.0
六和源 ,H,4,2,S N,1,0,5,37,20.0,0.73,3.8409,231.72,890.0
复兴北苑 ,H,2,1,S N,2,0,5,86,20.0,1.465,4.8036,69.74,335.0
复兴北苑 ,H,2,1,S N,2,0,12,237,20.0,3.975,4.1119,47.91,197.0
复兴南苑 ,H,2,1,S,2,0,16,303,20.0,5.105,4.1175000000000015,64.36,265.0
近江家园三园 ,H,3,2,S,3,1,1,44,20.0,0.695,4.7226,135.52,640.0
广厦天都城天河苑 ,H,3,2,S,2,0,21,240,20.0,4.335,1.6678000000000002,104.93,175.0
海月花园 ,H,4,2,S,3,0,2,6,20.0,0.16,4.2306,138.28,585.0
皇城花苑 ,H,3,1,S,2,0,1,18,20.0,0.305,4.9653,97.88,486.0
凤凰南苑 ,H,2,1,SE,2,1,6,119,20.0,1.995,4.5935000000000015,81.42,374.0
近江家园三园 ,H,3,2,S N,2,1,10,20,20.0,0.65,5.1443,124.41,640.0
日信国际DOUBLE时代 ,H,1,1,NE,3,1,5,56,20.0,1.015,4.7218,39.18,185.0
复兴南苑 ,H,1,1,S,2,0,20,48,20.0,1.42,4.1552,36.1,150.0
滨江金色家园 ,H,3,2,S N,3,1,3,74,20.0,1.215,5.9603,144.29,860.0
盛世钱塘 ,H,2,1,N,2,1,5,31,20.0,0.64,7.9092,56.77,449.0
金棕榈花园 ,H,3,2,S,3,1,5,81,20.0,1.39,4.7833000000000006,131.71,630.0
凤凰南苑 ,H,2,2,SE,2,1,3,69,20.0,1.14,4.9481,80.84,400.0
名城湖左岸 ,H,3,2,S,2,1,7,17,20.0,0.5,4.4604,89.68,400.0
景江城市花园 ,H,4,2,SE,1,1,1,8,20.0,0.155,4.6704,182.0,850.0
美政花苑 ,H,2,1,S,0,0,0,8,20.0,0.12,4.4673,74.99,335.0
近江家园九园 ,H,1,1,S N,2,0,8,33,20.0,0.775,5.5939000000000005,46.48,260.0
近江家园四园 ,H,2,1,SE,2,1,1,29,20.0,0.47,5.0470000000000015,71.33,360.0
耀江福村 ,H,3,1,S N,2,0,2,7,20.0,0.175,4.9948000000000015,76.08,380.0
盛世钱塘 ,H,3,2,S N,3,1,1,13,20.0,0.23,5.9245,146.85,870.0
严官巷 ,H,1,1,S,1,0,1,113,20.0,1.73,3.7836,52.86,200.0
盛世钱塘 ,H,3,1,NE,0,1,9,34,20.0,0.825,7.5124,60.7,456.0
采荷路17号 ,H,3,1,S,3,0,0,19,20.0,0.285,5.0396,78.38,395.0
近江家园四园 ,H,2,1,S N,3,0,0,40,20.0,0.6,5.8097,59.9,348.0
贺田尚城 ,H,2,2,S,2,1,2,90,20.0,1.42,3.703,97.22,360.0
滨文苑 ,H,3,2,S N,3,1,6,95,20.0,1.635,2.9412000000000003,132.6,390.0
盛世钱塘 ,H,3,3,S N,1,1,0,49,20.0,0.735,5.8986,152.58,900.0
采荷新村 ,H,2,0,S,3,0,11,51,20.0,1.15,5.7025000000000015,43.49,248.0
文华苑 ,H,2,2,E W,2,0,0,3,20.0,0.045,5.7026,68.04,388.0
金田花园 ,H,2,1,S N,2,0,1,88,20.0,1.355,4.0716,56.49,230.0
万象城悦府 ,H,2,2,S N,3,1,1,38,20.0,0.605,7.763999999999999,90.16,700.0
凤凰南苑 ,H,2,2,S,3,0,3,38,20.0,0.675,4.8612,72.0,350.0
北干一苑 ,H,4,2,S,2,0,1,28,20.0,0.455,2.9645,107.27,318.0
复地连城国际 ,H,3,1,S,1,1,23,358,20.0,6.175,2.5184,88.55,223.0
亲亲家园四期 ,H,3,2,S N,2,1,23,27,20.0,1.21,3.2457000000000003,114.0,370.0
盛世嘉园 ,H,3,1,S N,1,0,19,77,20.0,1.82,2.1549,125.3,270.0
世纪坊 ,H,2,1,S,1,0,5,6,20.0,0.265,5.1908,77.06,400.0
近江家园六园 ,H,2,1,S,2,1,1,19,20.0,0.32,5.6475,70.12,396.0
居安坊 ,H,2,1,S,2,0,1,7,20.0,0.14,4.4636000000000005,58.25,260.0
景芳东区 ,H,2,1,S,0,0,4,39,20.0,0.725,4.5462,67.09,305.0
萧绍路小区 ,H,2,0,S,3,0,28,44,31.0,1.0581,2.75,40.0,110.0
望江新园一园 ,H,2,1,S,1,1,1,10,30.0,0.1233,3.841,80.71,310.0
寰宇天下 ,H,2,2,S,2,1,14,24,14.0,1.2143,4.9749,87.44,435.0
绿城蓝色钱江 ,H,1,1,S,3,1,1,341,20.0,5.15,4.0777,103.0,420.0
复兴城市家园 ,H,4,2,SE N,3,0,0,55,20.0,0.825,4.3066,137.0,590.0
景江城市花园 ,H,1,1,SE,2,1,6,86,20.0,1.5,2.9681,40.43,120.0
四牌楼 ,H,2,1,S,2,0,0,27,20.0,0.405,4.8536,61.81,300.0
观音塘小区 ,H,2,1,S,2,0,0,6,20.0,0.09,4.8821,54.28,265.0
钱江时代公寓 ,H,3,2,S N,3,1,1,21,20.0,0.35,4.8211,176.31,850.0
采荷街道商教苑社区 ,H,3,1,S N,2,0,3,3,20.0,0.15,5.1778,64.7,335.0
滨江新苑 ,H,4,2,S N,2,0,3,26,20.0,0.495,3.6938,167.85,620.0
山水人家白沙岛 ,H,4,2,S,3,0,14,20,20.0,0.79,4.2792,144.89,620.0
景江城市花园 ,H,1,1,E SE,2,1,1,178,20.0,2.705,2.7394000000000003,38.33,105.0
复兴南苑 ,H,1,1,S,2,0,6,682,20.0,10.44,3.9451,34.22,135.0
宋都阳光国际 ,H,2,2,S,1,1,9,4,28.0,0.2679,3.3785000000000003,84.95,287.0
北干一苑 ,H,3,2,S,2,0,2,53,20.0,0.865,2.7537000000000003,111.85,308.0
水岸帝景 ,H,4,2,SE,1,1,2,28,20.0,0.49,5.724,206.15,1180.0
采荷人家 ,H,3,2,S N,0,1,1,11,20.0,0.2,5.3673,136.01,730.0
望江新园一园 ,H,2,1,S,1,1,19,23,20.0,1.01,3.9458,81.1,320.0
政苑小区 ,H,3,2,S,3,0,10,2,26.0,0.2923,4.8577,119.4,580.0
近江家园二园 ,H,2,2,S N,3,0,2,53,20.0,0.865,5.4331000000000005,64.42,350.0
采荷人家 ,H,4,2,S N,0,1,0,15,20.0,0.225,5.5687000000000015,152.64,850.0
文华苑 ,H,3,3,SE,2,0,0,2,20.0,0.03,4.981,120.46,600.0
阳光逸城 ,H,2,1,SE N,3,1,54,55,20.0,2.715,2.705,61.0,165.0
海狮沟 ,H,2,1,S,3,0,32,15,20.0,1.345,4.3042,48.79,210.0
贺田尚城 ,H,3,2,S,2,1,0,27,20.0,0.405,4.1041,136.45,560.0
百岁坊巷 ,H,2,1,S N,2,0,0,8,20.0,0.12,4.8708,53.38,260.0
紫金公寓 ,H,3,1,S,3,0,20,42,20.0,1.33,3.4155,81.98,280.0
亲亲家园四期 ,H,2,2,S N,3,1,22,238,20.0,4.34,3.5207,82.94,292.0
和达城 ,H,3,1,S N,1,1,2,22,20.0,0.4,3.4428,113.28,390.0
仓基新村 ,H,3,1,S,2,0,19,28,20.0,1.085,3.9973,57.54,230.0
复兴南苑 ,H,2,1,S,2,0,20,18,20.0,0.97,4.4625,48.18,215.0
中海御道 ,H,3,2,S N,1,0,0,9,20.0,0.135,6.1171000000000015,188.0,1150.0
三里亭苑四区 ,H,2,1,SE,2,0,6,8,18.0,0.3667,2.9687,70.74,210.0
沈塘桥19弄 ,H,2,1,S,2,0,14,25,16.0,1.0812,3.9691,51.65,205.0
绿城蓝色钱江 ,H,1,0,SW,3,1,0,127,20.0,1.905,4.373,53.74,235.0
绿都四季花城 ,H,5,3,S,2,0,8,38,20.0,0.85,3.407,121.81,415.0
野风海天城 ,H,3,2,S,2,1,22,15,20.0,0.995,2.3454,130.9,307.0
爱丁郡 ,H,3,2,S N,3,1,2,17,20.0,0.325,3.3294,149.58,498.0
