region,rooms,halls,towards,decoration,have_elevator,visited,attention,publishday,unit_price,area,total_price
十亩田家园 ,2,1,南,精装,0,15,107,20.0,4.3952,45.05,198.0
太阳国际公寓 ,4,2,南北,简装,1,8,117,20.0,4.3549,167.63,730.0
十亩田家园 ,2,1,南北,精装,0,12,71,20.0,4.2337,57.87,245.0
盛世钱塘 ,4,2,南北,精装,1,4,57,20.0,5.8071,185.98,1080.0
六和源 ,4,2,南北,毛坯,0,5,37,20.0,3.8409,231.72,890.0
复兴北苑 ,2,1,南北,简装,0,5,86,20.0,4.8036,69.74,335.0
复兴北苑 ,2,1,南北,简装,0,12,237,20.0,4.1119,47.91,197.0
复兴南苑 ,2,1,南,简装,0,16,303,20.0,4.117500000000001,64.36,265.0
近江家园三园 ,3,2,南,精装,1,1,44,20.0,4.7226,135.52,640.0
广厦天都城天河苑 ,3,2,南,简装,0,21,240,20.0,1.6678000000000002,104.93,175.0
海月花园 ,4,2,南,精装,0,2,6,20.0,4.2306,138.28,585.0
皇城花苑 ,3,1,南,简装,0,1,18,20.0,4.9653,97.88,486.0
凤凰南苑 ,2,1,东南,简装,1,6,119,20.0,4.593500000000001,81.42,374.0
近江家园三园 ,3,2,南北,简装,1,10,20,20.0,5.1443,124.41,640.0
日信国际DOUBLE时代 ,1,1,东北,精装,1,5,56,20.0,4.7218,39.18,185.0
复兴南苑 ,1,1,南,简装,0,20,48,20.0,4.1552,36.1,150.0
滨江金色家园 ,3,2,南北,精装,1,3,74,20.0,5.9603,144.29,860.0
盛世钱塘 ,2,1,北,简装,1,5,31,20.0,7.9092,56.77,449.0
金棕榈花园 ,3,2,南,精装,1,5,81,20.0,4.7833000000000006,131.71,630.0
凤凰南苑 ,2,2,东南,简装,1,3,69,20.0,4.9481,80.84,400.0
名城湖左岸 ,3,2,南,简装,1,7,17,20.0,4.4604,89.68,400.0
景江城市花园 ,4,2,东南,毛坯,1,1,8,20.0,4.6704,182.0,850.0
美政花苑 ,2,1,南,其他,0,0,8,20.0,4.4673,74.99,335.0
近江家园九园 ,1,1,南北,简装,0,8,33,20.0,5.5939000000000005,46.48,260.0
近江家园四园 ,2,1,东南,简装,1,1,29,20.0,5.047000000000001,71.33,360.0
耀江福村 ,3,1,南北,简装,0,2,7,20.0,4.994800000000001,76.08,380.0
盛世钱塘 ,3,2,南北,精装,1,1,13,20.0,5.9245,146.85,870.0
严官巷 ,1,1,南,毛坯,0,1,113,20.0,3.7836000000000003,52.86,200.0
盛世钱塘 ,3,1,东北,其他,1,9,34,20.0,7.5124,60.7,456.0
采荷路17号 ,3,1,南,精装,0,0,19,20.0,5.0396,78.38,395.0
近江家园四园 ,2,1,南北,精装,0,0,40,20.0,5.8097,59.9,348.0
贺田尚城 ,2,2,南,简装,1,2,90,20.0,3.7030000000000003,97.22,360.0
滨文苑 ,3,2,南北,精装,1,6,95,20.0,2.9412000000000003,132.6,390.0
盛世钱塘 ,3,3,南北,毛坯,1,0,49,20.0,5.8986,152.58,900.0
采荷新村 ,2,0,南,精装,0,11,51,20.0,5.702500000000001,43.49,248.0
文华苑 ,2,2,东西,简装,0,0,3,20.0,5.7026,68.04,388.0
金田花园 ,2,1,南北,简装,0,1,88,20.0,4.0716,56.49,230.0
万象城悦府 ,2,2,南北,精装,1,1,38,20.0,7.764,90.16,700.0
凤凰南苑 ,2,2,南,精装,0,3,38,20.0,4.8612,72.0,350.0
北干一苑 ,4,2,南,简装,0,1,28,20.0,2.9645,107.27,318.0
复地连城国际 ,3,1,南,毛坯,1,23,358,20.0,2.5184,88.55,223.0
亲亲家园四期 ,3,2,南北,简装,1,23,27,20.0,3.2457000000000003,114.0,370.0
