region,rooms,halls,towards,decoration,have_elevator,visited,attention,publishday,unit_price,area,total_price
昆明市教工二幼儿园宿舍 ,2,2,东南西北,其他,0,6,9,19.0,1.3,50.0,
新亚洲体育城星宇园 ,3,2,东南,精装,0,0,0,19.0,1.3446,119.0,160.0
禧瑞都 ,3,2,东南,简装,0,0,0,19.0,1.1021,147.0,162.0
金色交响家园 ,4,2,东南,简装,0,1,1,15.0,1.4477,105.0,152.0
金碧阳光商住楼 ,3,2,南北,其他,0,1,3,19.0,1.8196,129.15,235.0
融创春风十里 ,3,2,南北,毛坯,0,1,1,4.0,1.2723,94.32,120.0
电科所住宅 ,3,2,东,其他,0,0,0,9.0,1.5058,92.98,140.0
万科魅力之城 ,3,2,西南,其他,0,4,9,19.0,1.296,114.97,149.0
万科魅力之城 ,2,2,西南南,其他,0,4,13,19.0,1.2850000000000001,73.0,93.8
虹山煤气公司宿舍 ,2,1,西南,其他,0,1,3,15.0,1.0134,55.26,
新亚洲体育城星汇园 ,3,2,西南,其他,0,0,2,14.0,1.1429,105.0,120.0
东鸣佳苑 ,5,2,南北,毛坯,0,0,0,15.0,1.0090000000000001,223.0,225.0
南方公园 ,5,3,东南,其他,0,0,0,14.0,1.602,103.0,165.0
时代俊园 ,4,2,东西,其他,0,0,1,11.0,0.8681000000000001,144.0,125.0
圣世一品 ,3,2,东南,其他,0,0,0,11.0,1.125,120.0,135.0
春晖小区春都里西院 ,3,2,南北,其他,0,0,0,8.0,0.9767,93.18,
思兰雅苑 ,3,2,西南,其他,0,0,0,7.0,0.6805,169.0,115.0
兴杰大厦 ,3,2,东,其他,0,0,0,4.0,1.8832,130.1,245.0
云辰花园 ,4,2,南,精装,0,1,1,19.0,1.721,151.08,260.0
清水佳湖雅居 ,4,2,西南,其他,0,0,0,19.0,1.0546,165.95,175.0
新亚洲体育城星泽园 ,5,2,东南,其他,0,14,4,19.0,1.0986,142.0,156.0
西丽园 ,4,2,南北,其他,0,0,0,30.0,1.1655,133.0,155.0
中豪逸境花园 ,2,2,东南,毛坯,0,1,1,19.0,1.0094,107.0,108.0
万科白沙润园 ,4,2,东南,简装,0,0,1,8.0,1.4468,165.89,240.0
万科魅力之城 ,3,2,西南,精装,0,0,2,19.0,1.3087,81.0,106.0
世纪城迎春苑 ,4,2,南北,其他,0,0,3,19.0,1.2343,178.25,220.0
江东小康城 ,4,2,南北,其他,0,2,2,18.0,1.0958,156.97,172.0
俊发城 ,4,2,南,其他,0,0,0,15.0,1.3287,143.0,190.0
都市枫林 ,7,5,南,其他,0,0,0,13.0,0.739,295.0,218.0
龙苑盛景 ,5,4,南,其他,0,0,0,12.0,1.5688,286.86,450.0
顺城豪庭 ,4,2,东北,其他,0,0,0,11.0,1.7143000000000002,168.0,288.0
云南第三机床厂宿舍 ,3,2,东西,其他,0,0,1,10.0,1.3292000000000002,82.76,110.0
未名城A8地块 ,4,2,南,其他,0,0,0,23.0,1.25,140.0,175.0
中海半岛华府 ,3,2,南,其他,0,3,1,17.0,1.6069,117.0,188.0
五一路234号 ,2,2,北,其他,0,0,2,15.0,2.3229,77.49,180.0
物资大院 ,1,0,南北,其他,0,0,0,14.0,2.4586,38.64,
云南艺术家园区 ,4,2,南,其他,0,0,4,11.0,1.1786,140.0,165.0
东风西路57号 ,2,1,东西,其他,0,0,1,11.0,2.0,40.0,
桃源花园 ,3,2,西南,其他,0,0,1,10.0,1.3859000000000001,133.49,185.0
银德·香榭丽园 ,7,4,南北,精装,0,2,4,19.0,1.4113,121.88,172.0
枫林盛景西区 ,4,2,南,精装,0,6,14,19.0,0.9901000000000001,202.0,200.0
彼岸二期 ,4,2,东南,简装,0,2,13,19.0,1.0,126.0,126.0
广福小区二区 ,4,2,南,精装,0,0,1,19.0,1.4378,233.0,335.0
新域盛景 ,4,2,南北,精装,0,0,1,19.0,1.4384000000000001,146.0,210.0
山海湾 ,3,2,南,毛坯,0,2,0,19.0,1.719,153.0,263.0
山海湾 ,4,2,东南,毛坯,0,0,3,19.0,1.6,200.0,320.0
山海湾 ,3,2,东南,毛坯,0,1,2,19.0,1.5,160.0,240.0
山海湾 ,3,2,南,精装,0,0,7,19.0,1.7985,129.0,232.0
山海湾 ,4,2,东南,毛坯,0,2,4,19.0,1.9978,184.21,368.0
虹山小区 ,3,2,东,其他,0,0,1,19.0,1.477,65.0,
龙江雅苑 ,3,2,南,其他,0,0,1,17.0,1.3637000000000001,110.0,150.0
澳霖公寓 ,2,2,南,其他,0,0,1,15.0,1.0462,65.0,
滇池卫城橡尚 ,3,2,南,精装,0,0,1,14.0,1.7214,122.0,210.0
滇池卫城蓝调公元 ,3,2,西南,其他,0,0,0,14.0,1.868,106.0,198.0
仟村佳宇小区 ,3,2,南,其他,0,1,0,14.0,1.1936,124.0,148.0
环城北路145号 ,3,1,南北,其他,0,3,12,13.0,1.2087,56.26,
时代俊园·翔盛园 ,5,2,南北,其他,0,0,0,11.0,1.5674000000000001,245.0,384.0
万科魅力之城 ,3,1,西南,精装,0,0,0,8.0,1.3926,114.9,160.0
新亚洲体育城水晶堡 ,3,2,东南,其他,0,0,0,8.0,1.2353,102.0,126.0
春城慧谷 ,2,2,东,其他,0,0,0,7.0,1.0694000000000001,101.0,108.0
金领时代 ,2,2,东南,其他,0,0,0,7.0,1.1875,80.0,
云南映象花好月圆 ,2,2,东南,其他,0,0,0,6.0,1.2471,85.0,106.0
大连山 ,3,1,南北,其他,0,0,1,4.0,1.5965,55.75,
中豪.悦城花园 ,4,2,南,毛坯,0,0,0,16.0,1.0,149.0,149.0
万科魅力之城 ,2,2,东,精装,0,0,1,12.0,1.2603,73.0,
东菊新村 ,3,2,东南,简装,0,2,15,19.0,0.7667,120.0,
世纪城叠春苑 ,3,2,南,简装,0,0,1,19.0,1.6667,138.0,230.0
盛高大城 ,3,2,南,其他,0,0,1,19.0,1.5731000000000002,89.0,140.0
俊发九夏云水 ,3,2,南北,其他,0,0,2,19.0,2.4219,128.0,310.0
云锡花园一期 ,4,3,南北,其他,0,0,0,31.0,1.0612000000000001,180.0,191.0
夏意雅园 ,3,2,南,其他,0,2,8,26.0,1.0570000000000002,123.0,130.0
海伦国际 ,5,2,西南,其他,0,0,0,25.0,1.6445,225.0,370.0
天骄北麓 ,4,2,东,其他,0,0,1,23.0,1.0302,121.34,125.0
广福城怡福园 ,5,2,东南,其他,0,0,0,23.0,1.4243000000000001,235.21,335.0
时代俊园 ,5,2,东西,其他,0,0,1,22.0,0.8316,184.0,153.0
华润中央公园 ,4,2,东南西南,毛坯,0,0,0,19.0,1.6495000000000002,97.0,160.0
