region,city,rooms,halls,towards,decoration,have_elevator,visited,attention,publishday,popular,unit_price,area,total_price
百汇园 ,S,3,2,S,3,1,31,315,19.2,6.0521,9.9794,145.2,1449.0
汇龙新城 ,S,3,2,S,3,1,14,230,19.2,4.1042,9.3814,143.69,1348.0
上海绿城 ,S,3,2,S,3,1,26,1045,19.2,17.276,8.5471,134.55,1150.0
华宝花园 ,S,3,1,S,2,0,38,151,19.2,3.7448,4.9221,97.52,480.0
鸿凯湾绿苑 ,S,3,2,S,2,1,22,93,19.2,2.2552,9.0262,120.76,1090.0
中环一号(一期) ,S,3,2,S N,3,1,36,447,19.2,8.2969,4.8139,101.79,490.0
绿地新江桥城 ,S,2,1,S,0,1,12,38,16.0,1.2375,3.9138,77.42,303.0
大上海国际花园六区 ,S,2,2,S,3,0,21,108,19.2,2.4531,5.2669000000000015,84.49,445.0
锦绣苑 ,S,3,2,S N,3,0,9,112,19.2,2.0781,6.2976,130.21,820.0
天禧嘉苑 ,S,2,2,S N,2,1,11,102,19.2,1.9948,3.4197,84.22,288.0
上海滩花园 ,S,2,2,S,3,1,30,72,19.2,2.2188,10.6957,120.61,1290.0
茂盛城市花园 ,S,2,1,S,2,0,16,37,19.2,1.1615,7.2361,70.48,510.0
御上海 ,S,2,2,S,1,1,12,25,19.2,0.8281,4.1202000000000005,92.23,380.0
老西门新苑 ,S,3,2,S,3,1,18,27,21.0,0.9857,9.6869,143.08,1386.0
仁恒滨江园 ,S,3,2,E,3,1,6,19,6.0,1.65,10.122,130.41,1320.0
新领地 ,S,2,2,S,3,1,55,3547,19.2,57.4271,4.2031,121.34,510.0
花木苑 ,S,2,2,S,3,0,35,256,19.2,5.276,7.150600000000002,74.12,530.0
畅馨园 ,S,3,2,S,1,1,10,66,19.2,1.3958,3.9481,131.71,520.0
万科城花新园 ,S,3,2,S,3,1,11,80,19.2,1.651,6.6292,129.73,860.0
恒大华城天地苑 ,S,3,2,S,2,1,18,852,19.2,13.9688,6.484,115.67,750.0
嘉瑞花苑 ,S,2,2,S,3,1,16,43,19.2,1.2552,7.8146,115.17,900.0
安图新村 ,S,2,1,S,3,0,38,195,19.2,4.4323,5.4264,58.05,315.0
汇龙新城 ,S,3,2,S,3,1,1,236,19.2,3.724,10.1973,134.35,1370.0
莲浦府邸(公寓) ,S,3,2,S,3,1,10,83,19.2,1.6615,6.9047,141.21,975.0
丽泽兰馨苑 ,S,2,2,S,1,0,10,98,19.2,1.8958,1.6456000000000002,82.04,135.0
百汇园 ,S,4,2,S,3,0,23,10,23.0,0.8304,6.5152,330.0,2150.0
碧林湾(公寓) ,S,3,2,S,3,1,32,90,19.2,2.5729,8.0223,97.23,780.0
华云大楼 ,S,2,2,W,2,1,25,251,19.2,4.8333,5.9331000000000005,67.25,399.0
静安豪景苑 ,S,2,2,S,3,1,17,108,19.2,2.3073,10.9049,115.82,1263.0
新江湾城雍景苑 ,S,3,1,S,3,1,16,37,28.0,0.7964,6.888,136.18,938.0
武宁小城 ,S,2,1,S,3,1,26,116,19.2,2.7604,6.247999999999999,92.03,575.0
万科假日风景(公寓) ,S,2,1,S,3,0,18,102,19.2,2.25,6.1516,92.01,566.0
新梅公寓 ,S,2,2,S,3,1,18,156,19.2,3.0938,4.5979,108.53,499.0
新城金郡 ,S,2,2,S,3,1,20,106,19.2,2.3854,3.8564,79.09,305.0
新时代花园 ,S,3,2,S,0,0,13,16,16.0,0.8687,5.5275,130.26,720.0
海尚明城 ,S,2,1,S,0,1,5,32,13.0,1.0077,3.3329,63.01,210.0
翠竹苑 ,S,3,1,S N,2,0,19,118,19.2,2.5365,4.7534,77.84,370.0
紫薇园 ,S,3,1,S,2,1,12,119,19.2,2.2969,6.1527,107.27,660.0
绿城玉兰花园(一期) ,S,3,2,S,3,1,8,122,19.2,2.1979,6.5708,191.76,1260.0
尚海湾豪庭 ,S,3,2,SW,3,0,41,319,19.2,6.4792,8.966700000000003,144.87,1299.0
浦江茗园 ,S,3,2,S,3,1,7,43,19.2,0.9271,8.4815,141.25,1198.0
财富海景花园 ,S,3,2,S,3,1,47,94,19.2,3.1823,10.8109,185.0,2000.0
华丽家族汇景天地(商业类) ,S,1,0,S,3,0,12,137,19.2,2.5781,4.4516,80.87,360.0
中兴财富国际公寓 ,S,2,2,S,3,1,28,384,19.2,7.0208,6.7806000000000015,79.64,540.0
水岸金桥苑 ,S,2,1,S N,1,0,27,176,19.2,3.7344,4.1452,73.58,305.0
田林十四村 ,S,3,1,SE,2,1,21,47,19.0,1.5158,6.366700000000002,69.11,440.0
上南五村 ,S,2,1,S,3,0,6,137,19.2,2.3594,5.9255,57.38,340.0
上海绿城 ,S,4,2,S,3,1,17,115,19.2,2.4167,8.5534,147.31,1260.0
上海源花城 ,S,3,2,S N,3,1,9,398,19.2,6.5469,3.4361,135.33,465.0
王家堂小区 ,S,2,1,S N,3,0,11,113,19.2,2.1667,8.9593,44.2,396.0
