visited,url,attention,house_info,publishday,unit_price,region,total_price
15,,107, | 2室1厅 | 45.05平米 | 南 | 精装 | 无电梯,,43952,十亩田家园 ,198
8,,117, | 4室2厅 | 167.63平米 | 南 北 | 简装 | 有电梯,,43549,太阳国际公寓 ,730
12,,71, | 2室1厅 | 57.87平米 | 南 北 | 精装 | 无电梯,,42337,十亩田家园 ,245
4,,57, | 4室2厅 | 185.98平米 | 南 北 | 精装 | 有电梯,,58071,盛世钱塘 ,1080
5,,37, | 4室2厅 | 231.72平米 | 南 北 | 毛坯 | 无电梯,,38409,六和源 ,890
5,,86, | 2室1厅 | 69.74平米 | 南 北 | 简装 | 无电梯,,48036,复兴北苑 ,335
12,,237, | 2室1厅 | 47.91平米 | 南 北 | 简装 | 无电梯,,41119,复兴北苑 ,197
16,,303, | 2室1厅 | 64.36平米 | 南 | 简装 | 无电梯,,41175,复兴南苑 ,265
1,,44, | 3室2厅 | 135.52平米 | 南 | 精装 | 有电梯,,47226,近江家园三园 ,640
21,,240, | 3室2厅 | 104.93平米 | 南 | 简装,,16678,广厦天都城天河苑 ,175
2,,6, | 4室2厅 | 138.28平米 | 南 | 精装 | 无电梯,,42306,海月花园 ,585
1,,18, | 3室1厅 | 97.88平米 | 南 | 简装,,49653,皇城花苑 ,486
6,,119, | 2室1厅 | 81.42平米 | 东南 | 简装 | 有电梯,,45935,凤凰南苑 ,374
10,,20, | 3室2厅 | 124.41平米 | 南 北 | 简装 | 有电梯,,51443,近江家园三园 ,640
5,,56, | 1室1厅 | 39.18平米 | 东北 | 精装 | 有电梯,,47218,日信国际DOUBLE时代 ,185
20,,48, | 1室1厅 | 36.1平米 | 南 | 简装 | 无电梯,,41552,复兴南苑 ,150
3,,74, | 3室2厅 | 144.29平米 | 南 北 | 精装 | 有电梯,,59603,滨江金色家园 ,860
5,,31, | 2室1厅 | 56.77平米 | 北 | 简装 | 有电梯,,79092,盛世钱塘 ,449
5,,81, | 3室2厅 | 131.71平米 | 南 | 精装 | 有电梯,,47833,金棕榈花园 ,630
3,,69, | 2室2厅 | 80.84平米 | 东南 | 简装 | 有电梯,,49481,凤凰南苑 ,400
7,,17, | 3室2厅 | 89.68平米 | 南 | 简装 | 有电梯,,44604,名城湖左岸 ,400
1,,8, | 4室2厅 | 182平米 | 东南 | 毛坯 | 有电梯,,46704,景江城市花园 ,850
