region,total_price,house_info,publishday,attention,unit_price,url,visited
昆明市教工二幼儿园宿舍 ,," | 2室2厅 | 50平米 | 东南 西北 | 其他",19,9,13000,,6
新亚洲体育城星宇园 ,160," | 3室2厅 | 119平米 | 东南 | 精装",,0,13446,,0
禧瑞都 ,162," | 3室2厅 | 147平米 | 东南 | 简装",19,0,11021,,0
金色交响家园 ,152," | 4室2厅 | 105平米 | 东南 | 简装",15,1,14477,,1
金碧阳光商住楼 ,235," | 3室2厅 | 129.15平米 | 南 北 | 其他",,3,18196,,1
融创春风十里 ,120," | 3室2厅 | 94.32平米 | 南 北 | 毛坯",4,1,12723,,1
电科所住宅 ,140," | 3室2厅 | 92.98平米 | 东 | 其他",9,0,15058,,0
云百大白龙潭善书院 ,980," | 5室2厅 | 338平米 | 南 北 | 其他",8,0,28995,,0
万科魅力之城 ,149," | 3室2厅 | 114.97平米 | 西南 | 其他",,9,12960,,4
万科魅力之城 ,93.8," | 2室2厅 | 73平米 | 西南 南 | 其他",,13,12850,,4
虹山煤气公司宿舍 ,," | 2室1厅 | 55.26平米 | 西南 | 其他",15,3,10134,,1
新亚洲体育城星汇园 ,120," | 3室2厅 | 105平米 | 西南 | 其他",14,2,11429,,0
东鸣佳苑 ,225," | 5室2厅 | 223平米 | 南 北 | 毛坯",15,0,10090,,0
南方公园 ,165," | 5室3厅 | 103平米 | 东南 | 其他",14,0,16020,,0
时代俊园 ,125," | 4室2厅 | 144平米 | 东 西 | 其他",11,1,8681,,0
圣世一品 ,135," | 3室2厅 | 120平米 | 东南 | 其他",11,0,11250,,0
春晖小区春都里西院 ,," | 3室2厅 | 93.18平米 | 南 北 | 其他",8,0,9767,,0
思兰雅苑 ,115," | 3室2厅 | 169平米 | 西南 | 其他",7,0,6805,,0
兴杰大厦 ,245," | 3室2厅 | 130.1平米 | 东 | 其他",4,0,18832,,0
云辰花园 ,260," | 4室2厅 | 151.08平米 | 南 | 精装",,1,17210,,1
清水佳湖雅居 ,175," | 4室2厅 | 165.95平米 | 西南 | 其他",,0,10546,,0
新亚洲体育城星泽园 ,156," | 5室2厅 | 142平米 | 东南 | 其他",,4,10986,,14
西丽园 ,155," | 4室2厅 | 133平米 | 南 北 | 其他",30,0,11655,,0
中豪逸境花园 ,108," | 2室2厅 | 107平米 | 东南 | 毛坯",,1,10094,,1
万科白沙润园 ,240," | 4室2厅 | 165.89平米 | 东南 | 简装",8,1,14468,,0
万科魅力之城 ,106," | 3室2厅 | 81平米 | 西南 | 精装",,2,13087,,0
世纪城迎春苑 ,220," | 4室2厅 | 178.25平米 | 南 北 | 其他",,3,12343,,0
江东小康城 ,172," | 4室2厅 | 156.97平米 | 南 北 | 其他",18,2,10958,,2
俊发城 ,190," | 4室2厅 | 143平米 | 南 | 其他",15,0,13287,,0
都市枫林 ,218," | 7室5厅 | 295平米 | 南 | 其他",13,0,7390,,0
龙苑盛景 ,450," | 5室4厅 | 286.86平米 | 南 | 其他",12,0,15688,,0
顺城豪庭 ,288," | 4室2厅 | 168平米 | 东北 | 其他",11,0,17143,,0
云南第三机床厂宿舍 ,110," | 3室2厅 | 82.76平米 | 东 西 | 其他",10,1,13292,,0
未名城A8地块 ,175," | 4室2厅 | 140平米 | 南 | 其他",23,0,12500,,0
中海半岛华府 ,188," | 3室2厅 | 117平米 | 南 | 其他",17,1,16069,,3
五一路234号 ,180," | 2室2厅 | 77.49平米 | 北 | 其他",15,2,23229,,0
物资大院 ,," | 1室0厅 | 38.64平米 | 南 北 | 其他",14,0,24586,,0
云南艺术家园区 ,165," | 4室2厅 | 140平米 | 南 | 其他",11,4,11786,,0
东风西路57号 ,," | 2室1厅 | 40平米 | 东 西 | 其他",11,1,20000,,0
桃源花园 ,185," | 3室2厅 | 133.49平米 | 西南 | 其他",10,1,13859,,0
银德·香榭丽园 ,172," | 7室4厅 | 121.88平米 | 南 北 | 精装",,4,14113,,2
