attention,url,unit_price,region,house_info,visited,publishday,total_price
315,,99794,百汇园 , | 3室2厅 | 145.2平米 | 南 | 精装 | 有电梯,31,,1449
230,,93814,汇龙新城 , | 3室2厅 | 143.69平米 | 南 | 精装 | 有电梯,14,,1348
1045,,85471,上海绿城 , | 3室2厅 | 134.55平米 | 南 | 精装 | 有电梯,26,,1150
151,,49221,华宝花园 , | 3室1厅 | 97.52平米 | 南 | 简装 | 无电梯,38,,480
93,,90262,鸿凯湾绿苑 , | 3室2厅 | 120.76平米 | 南 | 简装 | 有电梯,22,,1090
447,,48139,中环一号(一期) , | 3室2厅 | 101.79平米 | 南 北 | 精装 | 有电梯,36,,490
38,,39138,绿地新江桥城 , | 2室1厅 | 77.42平米 | 南 | 其他 | 有电梯,12,16,303
108,,52669,大上海国际花园六区 , | 2室2厅 | 84.49平米 | 南 | 精装 | 无电梯,21,,445
112,,62976,锦绣苑 , | 3室2厅 | 130.21平米 | 南 北 | 精装 | 无电梯,9,,820
102,,34197,天禧嘉苑 , | 2室2厅 | 84.22平米 | 南 北 | 简装 | 有电梯,11,,288
72,,106957,上海滩花园 , | 2室2厅 | 120.61平米 | 南 | 精装 | 有电梯,30,,1290
37,,72361,茂盛城市花园 , | 2室1厅 | 70.48平米 | 南 | 简装 | 无电梯,16,,510
25,,41202,御上海 , | 2室2厅 | 92.23平米 | 南 | 毛坯 | 有电梯,12,,380
27,,96869,老西门新苑 , | 3室2厅 | 143.08平米 | 南 | 精装 | 有电梯,18,21,1386
19,,101220,仁恒滨江园 , | 3室2厅 | 130.41平米 | 东 | 精装 | 有电梯,6,6,1320
3547,,42031,新领地 , | 2室2厅 | 121.34平米 | 南 | 精装 | 有电梯,55,,510
256,,71506,花木苑 , | 2室2厅 | 74.12平米 | 南 | 精装 | 无电梯,35,,530
66,,39481,畅馨园 , | 3室2厅 | 131.71平米 | 南 | 毛坯 | 有电梯,10,,520
80,,66292,万科城花新园 , | 3室2厅 | 129.73平米 | 南 | 精装 | 有电梯,11,,860
852,,64840,恒大华城天地苑 , | 3室2厅 | 115.67平米 | 南 | 简装 | 有电梯,18,,750
43,,78146,嘉瑞花苑 , | 2室2厅 | 115.17平米 | 南 | 精装 | 有电梯,16,,900
195,,54264,安图新村 , | 2室1厅 | 58.05平米 | 南 | 精装 | 无电梯,38,,315
236,,101973,汇龙新城 , | 3室2厅 | 134.35平米 | 南 | 精装 | 有电梯,1,,1370
83,,69047,莲浦府邸(公寓) , | 3室2厅 | 141.21平米 | 南 | 精装 | 有电梯,10,,975
98,,16456,丽泽兰馨苑 , | 2室2厅 | 82.04平米 | 南 | 毛坯 | 无电梯,10,,135
10,,65152,百汇园 , | 4室2厅 | 330平米 | 南 | 精装,23,23,2150
90,,80223,碧林湾(公寓) , | 3室2厅 | 97.23平米 | 南 | 精装 | 有电梯,32,,780
251,,59331,华云大楼 , | 2室2厅 | 67.25平米 | 西 | 简装 | 有电梯,25,,399
108,,109049,静安豪景苑 , | 2室2厅 | 115.82平米 | 南 | 精装 | 有电梯,17,,1263
37,,68880,新江湾城雍景苑 , | 3室1厅 | 136.18平米 | 南 | 精装 | 有电梯,16,28,938
